Company_name,Year,Corrected_Repurchase
BKR,2024,-187
BKR,2025,-193
BKR,2026,-201
BKR,2027,-212
BKR,2028,-224
BKR,2029,-237
BKR,2030,-249
BKR,2031,-258
BKR,2032,-269
BKR,2033,-279
HAL,2024,-133
HAL,2025,-148
HAL,2026,-162
HAL,2027,-177
HAL,2028,-192
HAL,2029,-207
HAL,2030,-221
HAL,2031,-236
HAL,2032,-251
HAL,2033,-266
NOV,2024,4282
NOV,2025,4562
NOV,2026,4844
NOV,2027,5136
NOV,2028,5424
NOV,2029,5728
NOV,2030,5981
NOV,2031,6283
NOV,2032,6535
NOV,2033,6753
WHD,2024,-11878
WHD,2025,-13959
WHD,2026,-16073
WHD,2027,-18083
WHD,2028,-20144
WHD,2029,-22147
WHD,2030,-24128
WHD,2031,-26104
WHD,2032,-28115
WHD,2033,-30239
